register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
alu_operator_o_mode/hc_o + tpr_load_store_enable/hc_o,84,2044,0.0410958904109589,4.10958904109589
memory_set_o_tag/hc_o + tcr_execute/hc_o,23,560,0.04107142857142857,4.107142857142857
id_group9/hc_o + tcr_execute/hc_o,23,560,0.04107142857142857,4.107142857142857
csr_group19/hc_o + csr_group20/hc_o,23,560,0.04107142857142857,4.107142857142857
id_stage/hc_o + use_store_ops_ex_o,78,1932,0.040372670807453416,4.037267080745342
alu_operator_o_mode/hc_o + tpr_load_store_mode/hc_o,82,2044,0.040117416829745595,4.011741682974559
alu_operator_o_mode + store_dest_addr_ex_o_tag,67,1680,0.03988095238095238,3.9880952380952377
rdata_q_tag + tcr_execute/hc_o,160,4032,0.03968253968253968,3.968253968253968
pc_id_o_tag/hc_o + tcr_load_store/hc_o,42,1064,0.039473684210526314,3.9473684210526314
alu_operator_o_mode + tpr_load_store_enable/hc_o,42,1064,0.039473684210526314,3.9473684210526314
id_group3/hc_o + tcr_execute/hc_o,42,1064,0.039473684210526314,3.9473684210526314
alu_operator_o_mode + store_source_ex_o_tag,66,1680,0.039285714285714285,3.9285714285714284
alu_operand_b_ex_o_tag/hc_o + tcr_execute/hc_o,22,560,0.039285714285714285,3.9285714285714284
check_s1_o_tag + id_stage/hc_o,75,1932,0.03881987577639751,3.881987577639751
id_stage/hc_o + memory_set_o_tag,75,1932,0.03881987577639751,3.881987577639751
alu_operator_o_mode + memory_set_o_tag,65,1680,0.03869047619047619,3.869047619047619
alu_operator_o_mode + tpr_load_store_mode/hc_o,41,1064,0.03853383458646616,3.8533834586466162
csr_group12/hc_o + id_group0/hc_o,77,2044,0.03767123287671233,3.767123287671233
csr_group15/hc_o + id_group0/hc_o,77,2044,0.03767123287671233,3.767123287671233
tcr_execute/hc_o + tpr_branch/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_execute/hc_o + tpr_jump/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_execute/hc_o + tpr_shift/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_execute/hc_o + tpr_comparison/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_execute/hc_o + tpr_logical/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_execute/hc_o + tcr_shift/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_comparison/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
tcr_execute/hc_o + tcr_logical/hc_o,40,1064,0.03759398496240601,3.7593984962406015
rdata_offset_q_tag/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
data_type_q_tag/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
rdata_q_tag/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
if_stage/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
id_group6/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
id_group7/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group3/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group6/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group8/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group9/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group10/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group11/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
csr_group16/hc_o + tcr_execute/hc_o,40,1064,0.03759398496240601,3.7593984962406015
