register,successful_simulations,total_simulations,success_rate,success_rate_percent
id_group1/sd_o,6,11464,0.00052337752965806,0.052337752965806006
id_group2/sd_o,6,11464,0.00052337752965806,0.052337752965806006
id_group3/sd_o,5,11464,0.0004361479413817167,0.04361479413817167
id_group4/sd_o,5,11464,0.0004361479413817167,0.04361479413817167
id_group5/sd_o,5,11464,0.0004361479413817167,0.04361479413817167
id_group6/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
id_group7/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
id_group8/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
id_group9/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group0/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group1/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group2/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group3/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group4/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group5/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group6/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group7/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group8/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group9/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group10/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group11/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group13/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group14/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group16/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group17/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group18/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
csr_group19/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
lsu_group1/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
lsu_group2/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
lsu_group3/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
lsu_group4/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
lsu_group5/sd_o,4,11464,0.0003489183531053733,0.034891835310537335
